District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Reading,02460000,  96.3,   4.1,   7.5,   4.8,   0.1
Revere,02480000,  94.8,   5.7,  16.3,  12.9,   0.4
Richmond,02490000,  95.5,   4.8,  15.3,  14.8,   0.0
Rising Tide Charter Public (District),04830000,  95.7,   4.5,   9.7,   8.7,   3.6
River Valley Charter (District),04820000,  96.3,   4.0,   6.9,   4.1,   4.5
Rochester,02500000,  96.4,   3.8,   6.5,   4.0,   1.0
Rockland,02510000,  95.0,   5.5,  15.7,  11.7,   9.5
Rockport,02520000,  90.3,  11.0,  39.8,  34.8,   5.7
Rowe,02530000,  95.0,   5.6,  16.4,  15.1,   0.0
Roxbury Preparatory Charter (District),04840000,  92.8,   8.0,  28.2,  25.0,   1.7
Sabis International Charter (District),04410000,  95.3,   5.1,  13.8,   9.4,   6.9
Salem,02580000,  92.2,   8.0,  26.6,  24.4,  16.1
Salem Academy Charter (District),04850000,  95.6,   4.8,  13.7,   7.7,   5.2
Sandwich,02610000,  95.5,   4.8,  12.8,  10.1,   0.0
Saugus,02620000,  94.5,   5.9,  18.0,  14.5,   7.8
Savoy,02630000,  95.4,   5.1,  13.8,  12.1,   3.4
Scituate,02640000,  95.2,   5.2,  12.2,   9.7,   3.4
Seekonk,02650000,  96.1,   4.3,   9.1,   6.0,   1.4
Seven Hills Charter Public (District),04860000,  95.9,   4.5,   8.6,   6.0,   0.0
Sharon,02660000,  95.7,   4.6,  10.5,   8.3,   0.0
Shawsheen Valley Regional Vocational Technical,08710000,  96.0,   4.3,  10.4,   8.6,   0.0
Sherborn,02690000,  96.4,   4.1,   8.9,   4.3,   8.9
Shrewsbury,02710000,  94.8,   5.6,  14.6,  12.5,   0.0
Shutesbury,02720000,  93.8,   6.6,  23.6,  17.3,   0.0
Silver Lake,07600000,  95.3,   5.1,  14.0,   9.9,   3.8
Sizer School: A North Central Charter Essential (District),04740000,  93.8,   6.6,  21.7,  19.0,   0.0
Somerset,02730000,  95.7,   4.8,  12.0,   7.4,   4.7
Somerset Berkley Regional School District,07630000,  95.0,   5.6,  14.7,  11.1,   4.4
Somerville,02740000,  94.1,   6.4,  19.7,  15.8,  15.8
